"Switch","Jack","Room","Host","MAC","Switch Port"
"xx1420","A1 ",1420,"gonzo","01:02:03:04:05:05",1
,"A6 ",1420,"fantom2","00:00:c0:ff:ee:01",3
,"A22 ",1420,"04/03/13","08:00:20:dd:e0:f3",11
,"A7 ",1420,"godzilla","00:20:81:43:59:ff",4
,"A9 ",1420,"hulk","01:01:ff:ed:ce:34",6
,"A2 ",1420,"fantom1","00:de:ed:be:ef:01",2
,"A10 ",1420,"mothra","02:03:04:00:00:09",7
,"A17 ",1420,"jaws","09:09:01:04:15:fe",8
,"A18 ",1420,"04/01/13","08:00:20:00:f4:fe",9
,"A8 ",1420,"frankenstein","00:3a:ff:e4:33:76",5
,"A21 ",1420,"04/02/13","08:00:20:01:44:8d",10
,"U1",1420,"uplink","03:04:03:99:64:fe",24
"xx3122","A1 ",3122,"Mac1","01:02:03:04:05:15",21
,"A3 ",3122,"HP1 ","00:3a:ff:e4:33:75",1
,"A2 ",3122,"xerox","00:20:81:43:59:fe",22
,"A5 ",3122,"PC4","00:20:81:43:59:fd",7
,"A26 ",3122,"hp1320n","01:02:03:04:05:25",4
,"A16 ",3122,"raid1","09:09:01:04:25:fe",13
,"A27 ",3122,"lexmarkt1","00:de:ed:be:ef:02",5
,"A3 ",3122,"PC3","00:00:c0:ff:ee:02",6
,"A10 ",3122,"HP44","09:09:01:04:05:fe",19
,"A9 ",3122,"PC14","00:3a:ff:e4:33:74",8
,"A2 ",3122,"Mac2","00:de:ed:be:ef:03",2
,"A10 ",3122,"PC132","01:01:ff:ed:ce:14",9
,"A23 ",3122,"dell98","08:00:20:dd:50:f3",23
,"A15 ",3122,"camera2","02:03:04:00:00:19",12
,"A9 ",3122,"SGI39","02:03:04:00:00:29",18
,"A22 ",3122,"ibm12","08:00:20:01:44:fd",20
,"A25 ",3122,"Mac44","03:04:03:99:84:0e",3
,"A18 ",3122,"lenovo245","08:00:20:00:e4:fe",17
,"A5 ",3122,"SGI32","01:01:ff:ed:ce:24",27
,"A1 ",3122,"hp4500","00:00:c0:ff:ee:03",11
"xx2054","A1 ",2054,"04/04/13","08:00:20:00:d4:fe",24
,"A2 ",2054,"Sleepy","08:00:20:01:44:ed",23
,"A10 ",2054,"Stoopid","00:20:81:43:59:fc",26
,"A5 ",2054,"Sneezy","08:00:20:dd:40:f3",1
,"A7 ",2054,"Doc","01:02:03:04:05:35",3
,"A8 ",2054,"Grumpy","00:de:ed:be:ef:00",4
,"A13 ",2054,"Clack","02:03:04:00:00:f9",19
,"A9 ",2054,"Happy","00:00:c0:ff:ee:04",5
,"A22 ",2054,"Wick","00:de:ed:be:ef:04",6
,"A21 ",2054,"Snick","01:02:03:04:05:45",15
,"A11 ",2054,"Bashful","00:3a:ff:e4:33:73",7
,"A12 ",2054,"Click","01:01:ff:ed:ce:44",8
,"A15 ",2054,"Flick","08:00:20:00:c4:fe",21
,"A43 ",2054,"thursday","00:00:c0:ff:ee:05",47
,"A14 ",2054,"Blick","09:09:01:04:35:fe",20
,"A16 ",2054,"Glick","08:00:20:01:44:cd",12
,"A17 ",2054,"Plick","08:00:20:dd:30:f3",13
,"A18 ",2054,"Quee","03:04:03:99:84:1e",14
,"A25 ",2054,"biddy","00:20:81:43:59:fb",17
,"A6 ",2054,"Dopey","03:04:03:99:84:2e",2
,"A26 ",2054,"fiddy","00:3a:ff:e4:33:7a",18
,"A39 ",2054,"monday","03:04:03:99:84:3e",44
,"A34 ",2054,"widdy","08:00:20:00:b4:fe",22
,"A23 ",2054,"quick","00:00:c0:ff:ee:06",11
,"A33 ",2054,"ziddy","09:09:01:04:45:fe",31
,"A29 ",2054,"diddy","01:01:ff:ed:ce:54",9
